IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
TAJA,KOBIETA,2
TILDA,KOBIETA,2
LIDIANA,KOBIETA,2
CELIA,KOBIETA,2
SOFÍA,KOBIETA,2
DILARA,KOBIETA,2
MARCJA,KOBIETA,2
AMBER,KOBIETA,2
LEXI,KOBIETA,2
ALA,KOBIETA,2
CECILIA,KOBIETA,2
TOSIA,KOBIETA,2
ZEYNEP,KOBIETA,2
KATRINA,KOBIETA,2
MALIA,KOBIETA,2
AMALIA,KOBIETA,2
KAZIMIERA,KOBIETA,2
THUC ANH,KOBIETA,2
INGRID,KOBIETA,2
LUSI,KOBIETA,2
ANUNGOO,KOBIETA,2
MIROSLAWA,KOBIETA,2
MINE,KOBIETA,2
DOROTHY,KOBIETA,2
ZUZIA,KOBIETA,2
ANNABELLE,KOBIETA,2
ELEN,KOBIETA,2
ZORIANA,KOBIETA,2
BEATRICE,KOBIETA,2
MYROSLAVA,KOBIETA,2
GAYA,KOBIETA,2
MILLIE,KOBIETA,2
EUGENIA,KOBIETA,2
MARIYA,KOBIETA,2
DANIELLA,KOBIETA,2
CELINE,KOBIETA,2
LUCÍA,KOBIETA,2
YOANNA,KOBIETA,2
GENEVA,KOBIETA,2
HARPER,KOBIETA,2
BERNADETTA,KOBIETA,2
LOLA,KOBIETA,2
NALA,KOBIETA,2
JAGA,KOBIETA,2
SELINA,KOBIETA,2
ANH THU,KOBIETA,2
ELIZAWETA,KOBIETA,2
AISZA,KOBIETA,2
KENZA,KOBIETA,2
MINH ANH,KOBIETA,2
NIKITA,KOBIETA,2
MATHILDE,KOBIETA,2
POPPY,KOBIETA,2
TEKLA,KOBIETA,2
ALEXA,KOBIETA,2
MARIELLA,KOBIETA,2
CZESŁAWA,KOBIETA,2
VALERIIA,KOBIETA,2
MEDINA,KOBIETA,2
BOZENA,KOBIETA,2
ALMIRA,KOBIETA,2
VIVIANA,KOBIETA,2
FIONA,KOBIETA,2
TULA,KOBIETA,2
ELOISE,KOBIETA,2
NEFES,KOBIETA,2
AVA,KOBIETA,2
CHARLOTTA,KOBIETA,2
GLAFIRA,KOBIETA,2
LENKA,KOBIETA,2
HANYU,KOBIETA,2
JOSEPHINE,KOBIETA,2
MADINA,KOBIETA,2
MARISA,KOBIETA,2
ANABELL,KOBIETA,2
ZUZANA,KOBIETA,2
SELMA,KOBIETA,2
ALICYA,KOBIETA,2
SAFIYA,KOBIETA,2
ALBINA,KOBIETA,2
WIESŁAWA,KOBIETA,2
AILIN,KOBIETA,2
EMA,KOBIETA,2
ALBA,KOBIETA,2
CASSANDRA,KOBIETA,2
RAMONA,KOBIETA,2
PAVLINA,KOBIETA,2
ADÉLA,KOBIETA,2
ALITA,KOBIETA,2
LUBA,KOBIETA,2
LUCIE,KOBIETA,2
BOHDANA,KOBIETA,2
EMMY,KOBIETA,2
ARSENIA,KOBIETA,2
QUYNH CHI,KOBIETA,2
YAROSLAVA,KOBIETA,2
AUGUSTYNA,KOBIETA,2
MATILDE,KOBIETA,2
ANHELINA,KOBIETA,2
ALDONA,KOBIETA,2
TEONA,KOBIETA,2
DAIANA,KOBIETA,2
NILA,KOBIETA,2
ANISJA,KOBIETA,2
MARGARET,KOBIETA,2
NARINA,KOBIETA,2
LILIAN,KOBIETA,2
SENA,KOBIETA,2
CRISTINA,KOBIETA,2
MILIANA,KOBIETA,2
ALYA,KOBIETA,2
ISABELLE,KOBIETA,2
AYLİN,KOBIETA,2
THANH TRÚC,KOBIETA,2
MIROSLAVA,KOBIETA,2
SALOME,KOBIETA,2
LEONI,KOBIETA,2
MATHILDA,KOBIETA,2
LETYSJA,KOBIETA,2
SANTANA,KOBIETA,2
VALENTYNA,KOBIETA,2
INDIA,KOBIETA,2
ALEXIS,KOBIETA,2
NIKOLINA,KOBIETA,2
TELIMENA,KOBIETA,2
TEODORA,KOBIETA,2
NAWOJA,KOBIETA,2
MILAGROS,KOBIETA,2
IWANKA,KOBIETA,2
IRENE,KOBIETA,2
AICHA,KOBIETA,2
OLYMPIA,KOBIETA,2
HARRIET,KOBIETA,2
MARIA-MAGDALENA,KOBIETA,2
BIBIANNA,KOBIETA,2
DASZA,KOBIETA,2
DALILA,KOBIETA,2
RAYA,KOBIETA,2
RENESMEE,KOBIETA,2
SUZANNE,KOBIETA,2
VANESA,KOBIETA,2
EILEEN,KOBIETA,2
ZOI,KOBIETA,2
LILJA,KOBIETA,2
EKATERINA,KOBIETA,2
LILE,KOBIETA,2
MICHAELA,KOBIETA,2
ALISSIA,KOBIETA,2
ZOLA,KOBIETA,2
POLIANA,KOBIETA,2
AMÉLIA,KOBIETA,2
VIKTORIIA,KOBIETA,2
LETICJA,KOBIETA,2
